iter	TotalF1:average=Macro	MultiClass
169	0.5860969809	0.2390317151
170	0.5860969809	0.2389035346
171	0.5860969809	0.2387424693
172	0.5898790126	0.2379078886
173	0.5898790126	0.2378196985
174	0.5993703277	0.2367070808
175	0.5993703277	0.2363434933
176	0.5993703277	0.2362192534
177	0.5990403305	0.2354184955
178	0.5990403305	0.2349036678
179	0.5990403305	0.2341048638
180	0.601951979	0.2333110181
181	0.6048939242	0.2330093666
182	0.6022820251	0.2320791373
183	0.6022820251	0.2318190139
184	0.6022820251	0.2314187746
185	0.6022820251	0.2302211379
186	0.6052241368	0.2295006769
187	0.6163734311	0.2294641717
188	0.6052241368	0.2290405954
189	0.6163734311	0.2288753625
190	0.6191497596	0.2286352264
191	0.6188193397	0.2282303687
192	0.6076700944	0.2280903739
193	0.6081160509	0.227697614
194	0.6192653452	0.2273735679
195	0.6277139369	0.2268725425
196	0.6277139369	0.2263681285
197	0.6280444058	0.2259778843
198	0.6280444058	0.2258519973
199	0.6280444058	0.2255295764
